,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,0.0,92.85266821913449,86.53801093691752,80.81833369653258,74.68392128766966,68.73686565416213,64.18583808944531,59.746552463370456,56.63378190385126,52.375395840418484,48.353222614667196,45.95098905689147,43.735635943510715,38.17027469535349,33.437992372155776,29.254521740614223,25.844837987384032,21.92343086656742,18.787013532334495,15.128972928447087,11.517421735720815,9.361806998551105,7.4202382486970775,6.1609417083705305,4.986532380651362,3.8814329511541246,3.2934458582889956,1.6172604331611533,2.110232071018817,2.800834139540994,3.4998375532349155,4.537193676619085,5.422300076245549,6.808937749927589,8.103261575254509,10.264481262239634,12.972499570040638,17.68316553757256,20.263610092439556,23.09962682517127,26.665137765261605,30.536456976058464,35.19705974248174,36.939204514056485,30.612565646259668,26.7780992767786,22.720400265052863,19.648877955623817,16.591595273098974,12.727998856259218,10.000110169351462,6.784868506947709,5.421441384577019,4.178944753188174,2.892384148374061,2.42167733146275,15.25004834122634,23.215196473187756,7.863377385524467,10.430612882890278,12.86361595012845,14.390189680870774,12.592732095052853,10.494051651284268,7.531286414857264,6.5694156583067596,5.6546500492062535
1,77.52884534364512,0.0,95.19521650890691,88.90334652755944,82.15525154485503,75.61325638581506,70.60694702336588,65.72355818944489,62.29938811495603,57.61499591668264,53.190447132671025,50.54789571322461,48.110920134646854,41.98880381567108,36.783107088177914,32.181124812221086,28.430338543834836,24.116636439474863,20.666453982516863,16.642465407839804,12.669617014372617,10.298355999785096,8.162553991994397,6.777278255847773,5.485381793103762,4.269728945113698,3.6229200110541773,1.7790501008659827,2.321338296429198,3.0810277406711126,3.8499589951179467,4.991091541304869,5.964743401725844,7.490099394271041,8.913906521920993,11.291333201808921,14.270259876112986,19.452177761968137,22.290768289185802,25.41049826647959,29.332700570784898,33.59130400362252,38.71815039872962,40.634578184905706,33.675026535023086,29.456962677454673,24.99333413125679,21.61453875460804,18.251407527752836,14.001299472089245,11.00051459905029,7.463622280088864,5.963798807108808,4.597003631716233,3.1817363520420057,2.6639403354366036,16.77565312510578,25.537629425905095,8.650024475971712,11.474084520282627,14.150483610636183,15.829774771150136,13.852500713253828,11.543869661250643,8.284711343499065,7.2266156704871385,6.220337512826414
2,65.13373249624371,85.81145296761298,0.0,95.58433687676106,88.32912985366832,81.29551083310675,75.91298273602001,70.662612512251,66.98111975964908,61.94470055349654,57.18765171318625,54.346515412290884,51.726403754390496,45.14421701465629,39.5473178076651,34.59950154037103,30.5668477401114,25.928975587556163,22.219515650073,17.893128685652776,13.621725031756013,11.07226631626433,8.77596109729888,7.286583387653316,5.897602302823852,4.590594457945304,3.895178531966876,1.9127437920359447,2.4957843590514606,3.3125636434806314,4.1392792501572915,5.366166673140348,6.412987417940023,8.052972263766145,9.583776957317683,12.139864681189387,15.342654473580192,20.9139878846993,23.96589542031324,27.320069731645148,31.537021297549483,36.115654173002575,41.62777753039964,43.68822279223301,36.20566836209823,31.670621567155298,26.8715561627923,23.23884796750382,19.622981065926265,15.053481986054702,11.827191374932102,8.02450542308621,6.411971838059029,4.942463483322835,3.420840398087191,2.8641325707917,18.03632531583869,27.456754660218607,9.300064460984089,12.336349563614473,15.213877151281924,17.019365226480243,14.89350116140758,12.4113789824588,8.907298441665054,7.769688023077907,6.687789150083818
3,55.3686686457623,72.94631711224572,87.00452956052047,0.0,95.77240442845924,88.14607994695582,82.30997968630861,76.6171739120076,72.6254509845119,67.16462534429567,62.00671191103877,58.92616016897461,56.0852582630703,48.948407130201524,42.879871243056456,37.515114889472635,33.142639452227186,28.113945427754558,24.091898590744417,19.400937831175007,14.769593688015084,12.005298471043806,9.515489361792092,7.900605522324688,6.3945784798286605,4.9774323569329555,4.223415472365721,2.073925921407496,2.7060978569276926,3.5917050862384587,4.488085946789503,5.818360100477925,6.9533938079439315,8.731576069800337,10.391377841364067,13.16286067665087,16.63554154426902,22.676357269946937,25.98544141085611,29.62226359172227,34.19456710579614,39.15902990763502,45.13564609664035,47.36971992082411,39.256629367028,34.339425535553524,29.135954907611048,25.197127489905004,21.27656053955613,16.32200121537916,12.823839173886533,8.700710399744308,6.952292647689628,5.358952503912023,3.7091060518039507,3.105485850036296,19.556201282786926,29.770466616933764,10.083757603450664,13.375902848071197,16.49591247951092,18.453544513417718,16.148539207270552,13.457254808149319,9.657894175266835,8.424420175563068,7.251352393884009
4,46.11282338427812,60.75205923861385,72.46019460797619,86.31391252581196,0.0,97.78188102126009,91.30780002233011,84.99267792915451,80.56459472226538,74.50681196719789,68.78505465306445,65.36774847105816,62.216289752492656,54.29926464189701,47.56733901971215,41.61612748778855,36.76566932526557,31.18725720428177,26.725535191060885,21.52177607728469,16.384150646324017,13.317672974529847,10.555687209161633,8.764270284563489,7.0936099764390095,5.5215467189224325,4.685103517600911,2.300639776788832,3.001918393163086,3.9843369054797386,4.978706782267029,6.454401550541418,7.713512914374602,9.686079436534083,11.527324554224945,14.60177556799165,18.454076970692558,25.155252166629268,28.82607305793193,32.86045909074173,37.9325897909987,43.43974917138188,50.06970677647033,52.54800122814087,43.54801784007191,38.09328360463158,32.320988953011465,27.951583595981607,23.60243487257162,18.10626158113327,14.225693497559263,9.651839646416635,7.712291379383643,5.944773227027739,4.1145717072271815,3.4449659937706967,21.694012350997635,33.024863118543564,11.186076417932558,14.838106715909625,18.299184176758885,20.47081725151472,17.913837352525583,14.928351769189282,10.713659186320703,9.345346404238594,8.044043222894153
5,38.09135535946321,50.18405093074799,59.85551999770464,71.29934090323529,87.76078258346186,0.0,102.8356933087694,95.72326744129236,90.73612497922454,83.91352834039496,77.46938139786062,73.62062969878326,70.0712895309291,61.154715415772095,53.57286327946892,46.870292811635515,41.407449244204855,35.12474527057808,30.099716998422167,24.23896713755451,18.452700542319516,14.999070542279057,11.888375497374566,9.870786623247046,7.9892002634025685,6.2186591379738205,5.2766123851195275,2.591102692671956,3.380919912009453,4.487371812161967,5.607283973661519,7.269289788832925,8.687367872206636,10.908977043102546,12.982685074429783,16.44529507562603,20.78396149277998,28.331180866033417,32.46545429368259,37.00919409091512,42.72169704231753,48.924152395585196,56.39116273599733,59.182349557917114,49.04609031989873,42.90267894891614,36.40161417310633,31.480557821651935,26.582315566713827,20.392233330234816,16.02173147597239,10.870414373159635,8.685992114629899,6.69531930695188,4.634049162041749,3.879903647967696,24.432948775660556,37.19435463774269,12.598353301269423,16.711463764836143,20.609513002631207,23.055321496540337,20.17551494523992,16.81310253632588,12.066291927192578,10.525225407418224,9.059628658556282
6,32.547645535556974,42.880403855898436,51.14431423737048,60.922633304535786,74.9883225864256,94.09954870460336,0.0,106.43265104165286,100.88755414359919,93.30165505481334,86.13654607839298,81.85720148973171,77.91076617038756,67.99661837066294,59.566519354585374,52.11407479482863,46.040056025420476,39.054452028637435,33.46723070971596,26.950788454266338,20.517162546726958,16.677145313229076,13.218430111991589,10.975116251887153,8.883020674760273,6.914393915615982,5.866952306156129,2.880991592471262,3.759172443788232,4.989412615599446,6.234618963735108,8.08256763581554,9.659298286909289,12.12945794565597,14.435169494793044,18.285171399258772,23.10924167084969,31.500833259393566,36.0976433432703,41.14973031428304,47.50134000598012,54.397717280404436,62.70012616310281,65.80358701384786,54.53329744700462,47.70256991198681,40.47417521570976,35.002558048735374,29.556307387086747,22.6736875162349,17.814220103916398,12.08658093881137,9.65776861152318,7.4443821492647295,5.152500019662869,4.31398177347681,27.166472483331592,41.355606360869785,14.007839227132845,18.58111866447607,22.91527613067279,25.634718215185764,22.4327229852381,18.694128637781702,13.416251580016715,11.70277272043105,10.073207082849036
7,27.61399617857638,36.38049046954904,43.39173770231026,51.68783595797729,63.621414675824205,79.83571578152902,97.00875444450134,0.0,113.63114409762312,105.08703377811901,97.01686558456834,92.19697649393363,87.75204803619685,76.58559676479278,67.09065158364909,58.696853073637406,51.85559591464348,43.98760683407217,37.69463684203517,30.35507156841498,23.10878357208545,18.783715378085247,14.888113301489655,12.361435728050873,10.005077542856561,7.787784113140146,6.608035139456357,3.2449034330059887,4.234011511865121,5.619649209442646,7.022143532725392,9.103515448465357,10.879410496555787,13.661587847467292,16.258544860763767,20.59485893732249,26.02828061972319,35.47985431581054,40.65730948819907,46.34754975093514,53.50146167055402,61.26895337430052,70.6200792700128,74.11555311835683,61.42165932082191,53.728109889358585,45.58666205370141,39.423898727488485,33.28970607132889,25.53770953466243,20.064419529228186,13.613294840618304,10.877687600548468,8.384717697852349,5.803336964279686,4.858901464086727,30.59799967975947,46.579430986579425,15.777236461189963,20.928188718430448,25.80981436357387,28.87276219686753,25.266307620159274,21.055473522489468,15.110922546193617,13.181005968726842,11.345602094062036
8,24.442493102717904,32.202144217914146,38.40814066333884,45.751421334570736,56.31441314551377,70.66648085706993,85.86717388092362,106.1086787185241,0.0,115.5214183135145,106.64994062278436,101.35147130791546,96.46519351246424,84.18999416555927,73.75226940828121,64.52502724478306,57.00448259107127,48.35525894106379,41.437442415578516,33.36911124540359,25.403319113410976,20.648802841417695,16.366395574850632,13.588837141515421,10.998509583283537,8.561054907772357,7.26416536970033,3.567098940700102,4.654418318049908,6.177639845367943,7.7193917397487555,10.007428875251787,11.95965749333721,15.018084989308218,17.872901104002896,22.639779893584116,28.612701161602864,39.00274795816647,44.69428708783501,50.949527168964856,58.81377094607304,67.35251855455384,77.63214380862438,81.47469299971762,67.52038710020435,59.062923698350914,50.11308881114298,43.33840753430911,36.59513378900476,28.07341990593933,22.056671677951964,14.964996835182585,11.957763526182408,9.217259692184903,6.3795664694498795,5.341355335635947,33.636160366135194,51.20443253891257,17.34380225168995,23.006206917883116,28.37254278186117,31.739619244115126,27.77506973875691,23.146130184969543,16.611328170587516,14.489784796107509,12.472138554164133
9,20.419272500817332,26.901689411670212,32.08618233658136,38.2207631441012,47.045092450654785,59.03481789809125,71.73348540925556,88.64324994794812,104.35314002684594,0.0,123.51648166329775,117.3800667328075,111.72103084212372,97.50452564585738,85.41608911171218,74.72957132431227,66.01966290435621,56.00257646127499,47.99071679186965,38.646390173262795,29.42081900032669,23.91438253633819,18.95471846595144,15.73789299660379,12.737908707067959,9.914973935845245,8.412983105722134,4.131230719185467,5.390508156662858,7.15462506802215,8.940202898442047,11.590089951749313,13.851060833685262,17.393174420609512,20.699475767086206,26.22022986377142,33.13776039374105,45.17097876343215,51.762626957894064,59.00712463195406,68.11508771771473,78.00422648564694,89.90956029816965,94.35980334500539,78.19864321030337,68.40364363418671,58.03840470128105,50.192316922719556,42.382603733488374,32.51319255115667,25.544903887936236,17.33169044811682,13.848867338236682,10.674956602014158,7.388486109248273,6.18608331630228,38.955672744180596,59.30234293464757,20.086700660900895,26.644606816664865,32.859621297418705,36.75919625902034,32.16765871645561,26.806658755488524,19.23838681394502,16.78132428037369,14.444590067576767
