u,v,shape_id,direction_id,headsign,duration_avg,n_vehicles,d,route_I_counts
39,40,{'20237': 175},{'0': 175},{'STATION MONTMORENCY': 175},66.0,175,535,{2: 175}
40,39,{'20236': 172},{'1': 172},{'STATION CÔTE-VERTU': 172},73.0,172,535,{2: 172}
40,41,{'20237': 175},{'0': 175},{'STATION MONTMORENCY': 175},64.0,175,564,{2: 175}
41,40,{'20236': 171},{'1': 171},{'STATION CÔTE-VERTU': 171},69.0,171,564,{2: 171}
41,42,{'20237': 176},{'0': 176},{'STATION MONTMORENCY': 176},64.0,176,471,{2: 176}
42,41,{'20236': 171},{'1': 171},{'STATION CÔTE-VERTU': 171},71.0,171,471,{2: 171}
42,12,{'20237': 176},{'0': 176},{'STATION MONTMORENCY': 176},106.0,176,671,{2: 176}
43,44,{'20237': 177},{'0': 177},{'STATION MONTMORENCY': 177},96.0,177,1189,{2: 177}
43,12,{'20236': 170},{'1': 170},{'STATION CÔTE-VERTU': 170},77.0,170,767,{2: 170}
44,43,{'20236': 170},{'1': 170},{'STATION CÔTE-VERTU': 170},96.0,170,1189,{2: 170}
44,45,{'20237': 177},{'0': 177},{'STATION MONTMORENCY': 177},74.0,177,473,{2: 177}
45,44,{'20236': 170},{'1': 170},{'STATION CÔTE-VERTU': 170},70.0,170,473,{2: 170}
45,46,{'20237': 178},{'0': 178},{'STATION MONTMORENCY': 178},85.0,178,975,{2: 178}
46,45,{'20236': 170},{'1': 170},{'STATION CÔTE-VERTU': 170},85.0,170,975,{2: 170}
46,47,{'20237': 178},{'0': 178},{'STATION MONTMORENCY': 178},72.0,178,672,{2: 178}
47,46,{'20236': 169},{'1': 169},{'STATION CÔTE-VERTU': 169},75.0,169,672,{2: 169}
47,48,{'20237': 178},{'0': 178},{'STATION MONTMORENCY': 178},81.0,178,828,{2: 178}
48,47,{'20236': 169},{'1': 169},{'STATION CÔTE-VERTU': 169},87.0,169,828,{2: 169}
48,49,{'20237': 179},{'0': 179},{'STATION MONTMORENCY': 179},101.0,179,1246,{2: 179}
