u,v,veh,avg_wait,edge_color
20,21,{1: {'1': 9.052631578947368}},3.313953488372093,#00B300
20,22,{1: {'1': 9.052631578947368}},3.313953488372093,#00B300
20,23,{1: {'1': 9.052631578947368}},3.313953488372093,#00B300
20,24,{1: {'1': 9.052631578947368}},3.313953488372093,#00B300
20,25,{1: {'1': 9.052631578947368}},3.313953488372093,#00B300
20,26,{1: {'1': 9.052631578947368}},3.313953488372093,#00B300
21,1,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,0,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,2,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,3,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,4,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,5,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,6,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,7,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,8,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,9,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,10,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,11,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,12,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
21,13,{1: {'0': 8.947368421052632}},3.3529411764705883,#00B300
