u,v,veh,avg_wait,edge_color
10,21,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
10,22,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
10,23,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
10,24,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
10,25,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
10,26,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,1,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,0,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,2,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,3,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,4,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,5,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,6,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,7,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,8,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,9,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,10,{1: {'0': 9.105263157894736}},3.294797687861272,#00B300
11,12,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,13,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,14,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,15,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,16,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,17,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,18,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,19,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,20,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,21,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,22,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,23,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,24,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,25,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
11,26,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,1,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
